,opentime,open,high,low,close,volume,closetime,quote_asset_volume,num_of_trades,taker_by_base,taker_buy_quote,ignore,id
145,1609970400000,1181.23,1194.51,1173.12,1177.97,30488.473,1609973999999,36181615.138827294,33458,14879.21184,17665573.458508503,0,
146,1609974000000,1178.01,1213.0,1175.55,1208.42,67466.36348999999,1609977599999,80628802.3945945,53524,37848.81960999999,45246954.141496606,0,
147,1609977600000,1208.75,1221.0,1188.0,1199.8,95554.67254999999,1609981199999,115233154.02960859,69899,48264.177560000004,58229454.4830803,0,
148,1609981200000,1199.8,1210.82,1195.59,1200.12,53546.212239999986,1609984799999,64402023.45656359,40378,25565.026270000002,30752601.751755398,0,
149,1609984800000,1200.21,1205.12,1179.91,1196.53,56117.02736000001,1609988399999,66910493.7349194,42912,27535.909930000005,32849772.558363996,0,
150,1609988400000,1196.53,1224.11,1193.67,1213.17,71549.09166,1609991999999,86716810.6959711,53197,38484.06006,46649008.1229215,0,
151,1609992000000,1213.17,1216.63,1201.32,1210.42,55797.31429000001,1609995599999,67485345.77194421,40276,28501.058779999996,34473037.8587203,0,
152,1609995600000,1210.43,1218.04,1200.71,1207.27,53541.34273,1609999199999,64730906.115212694,35030,26608.122280000007,32176725.6913348,0,
153,1609999200000,1207.3,1210.93,1183.02,1198.71,61270.822739999996,1610002799999,73472347.3480934,44799,28796.566749999998,34521181.4710482,0,
154,1610002800000,1198.71,1204.86,1181.09,1186.21,52978.58936,1610006399999,63194683.2211213,42058,24608.98331,29360691.915295802,0,
155,1610006400000,1186.39,1198.95,1159.03,1195.77,88581.26432,1610009999999,104598930.7265947,66277,43295.666249999995,51184172.0115442,0,
156,1610010000000,1195.77,1205.0,1181.24,1204.96,48669.39590999999,1610013599999,58082885.9020251,38843,24086.746169999995,28757762.882253196,0,
157,1610013600000,1204.96,1205.7,1179.79,1183.51,47906.19223,1610017199999,57025761.8807025,39701,22738.86135,27071361.2106689,0,
158,1610017200000,1183.53,1205.0,1183.03,1201.12,54084.34786,1610020799999,64573030.00874901,40059,28282.327499999996,33779847.3777424,0,
